,Name,Date,Departure,Arrival,Source,Destination,Stops,Duration,Price
669,IndiGo,22 Mar,20:30,22:40,Pune,New Delhi,Non Stop,2h 10m,"2,564"
670,Go First,22 Mar,19:10,21:30,Pune,New Delhi,Non Stop,2h 20m,"2,564"
671,Air Asia,22 Mar,01:30,03:35,Pune,New Delhi,Non Stop,2h 05m,"2,565"
672,Air Asia,22 Mar,17:55,20:10,Pune,New Delhi,Non Stop,2h 15m,"2,565"
673,IndiGo,22 Mar,23:55,02:05 + 1 day,Pune,New Delhi,Non Stop,2h 10m,"2,798"
674,IndiGo,22 Mar,02:00,04:15,Pune,New Delhi,Non Stop,2h 15m,"2,798"
675,IndiGo,22 Mar,04:55,07:10,Pune,New Delhi,Non Stop,2h 15m,"2,798"
676,IndiGo,22 Mar,16:15,18:30,Pune,New Delhi,Non Stop,2h 15m,"2,798"
677,SpiceJet,22 Mar,06:25,09:00,Pune,New Delhi,Non Stop,2h 35m,"2,909"
678,Air India,4 Apr,16:55,19:50,Chennai,New Delhi,Non Stop,2h 55m,"2,271"
679,Air India,4 Apr,09:55,12:55,Chennai,New Delhi,Non Stop,3h 00m,"2,271"
680,IndiGo,4 Apr,17:00,23:05,Chennai,New Delhi,1 Stop,6h 05m,"2,271"
681,IndiGo,4 Apr,22:30,01:25 + 1 day,Chennai,New Delhi,Non Stop,2h 55m,"2,329"
682,SpiceJet,4 Apr,07:05,09:50,Chennai,New Delhi,Non Stop,2h 45m,"2,566"
683,SpiceJet,4 Apr,22:05,00:50 + 1 day,Chennai,New Delhi,Non Stop,2h 45m,"2,566"
684,IndiGo,4 Apr,18:15,21:05,Chennai,New Delhi,Non Stop,2h 50m,"2,750"
685,IndiGo,4 Apr,19:35,22:30,Chennai,New Delhi,Non Stop,2h 55m,"2,750"
686,Vistara,4 Apr,10:45,13:30,Chennai,New Delhi,Non Stop,2h 45m,"2,777"
687,Vistara,4 Apr,17:25,20:10,Chennai,New Delhi,Non Stop,2h 45m,"2,777"
688,IndiGo,29 Mar,00:45,07:10,Pune,Kolkata,1 Stop,6h 25m,"4,319"
689,IndiGo,29 Mar,00:45,08:20,Pune,Kolkata,1 Stop,7h 35m,"4,319"
690,Air Asia,29 Mar,11:50,15:45,Pune,Kolkata,1 Stop,3h 55m,"4,447"
691,Air Asia,29 Mar,17:50,23:10,Pune,Kolkata,1 Stop,5h 20m,"4,447"
692,Air Asia,29 Mar,19:25,01:35 + 1 day,Pune,Kolkata,1 Stop,6h 10m,"4,447"
693,Air Asia,29 Mar,11:50,19:20,Pune,Kolkata,1 Stop,7h 30m,"4,447"
694,Air Asia,29 Mar,23:50,09:00 + 1 day,Pune,Kolkata,1 Stop,9h 10m,"4,447"
695,Air Asia,29 Mar,19:05,07:10 + 1 day,Pune,Kolkata,1 Stop,12h 05m,"4,447"
696,Air Asia,29 Mar,17:50,07:10 + 1 day,Pune,Kolkata,1 Stop,13h 20m,"4,447"
697,Air Asia,29 Mar,19:25,09:00 + 1 day,Pune,Kolkata,1 Stop,13h 35m,"4,447"
